id,english,target
gmat_0247,perceive,감지하다
gmat_0248,pertain to,~에 관련되다
gmat_0249,pertinent,적절한
gmat_0250,plaintiff,원고
gmat_0251,plausible,그럴듯한
gmat_0252,plead guilty,유죄를 인정하세요
gmat_0253,plead not guilty,무죄를 주장합니다
gmat_0254,postulate,가정
gmat_0255,pragmatic,바쁜
gmat_0256,precedent,전례
gmat_0257,precise,정밀한
gmat_0258,preclude,배제하다
gmat_0259,predict,예측하다
gmat_0260,predominant,주된
gmat_0261,premise,전제
gmat_0262,presume,추측하다
gmat_0263,presumption of innocence,무죄추정의 원칙
gmat_0264,presuppose,전제하다
gmat_0265,prior to,앞서서
gmat_0266,probability,개연성
gmat_0267,probation,집행 유예
gmat_0268,proponent,제안자
gmat_0269,proportion,비율
gmat_0270,prosecute,기소하다
gmat_0271,prosecutor,고발자
gmat_0272,prospect,전망
gmat_0273,provided that,단서가 다음과 같다
gmat_0274,provisional,임시
gmat_0275,qualification,자격
gmat_0276,qualify (a claim),(주장을) 적격하게 하다
gmat_0277,qualify a claim,청구를 적격하게 하다
gmat_0278,quantify,정량화하다
gmat_0279,rationale,이론적 해석
gmat_0280,rebut,반박하다
gmat_0281,reconcile,조정하다
gmat_0282,redundant,많은
gmat_0283,refute,반박하다
gmat_0284,reinforce,강화하다
gmat_0285,reluctant,주저하는
gmat_0286,rely on,의존하다
gmat_0287,remedy,치료
gmat_0288,representative,대표
gmat_0289,resilient,회복력 있는
gmat_0290,resolution,해결
gmat_0291,restrain,제한하다
gmat_0292,result from,결과
gmat_0293,retain,유지하다
gmat_0294,reveal,드러내다
gmat_0295,rigorous,엄밀한
gmat_0296,risk,위험
gmat_0297,rule of law,법치주의
gmat_0298,salient,현저한
gmat_0299,sample,견본
gmat_0300,scope,범위
gmat_0301,scrutinize,유심히 보다
gmat_0302,seemingly inconsistent,겉보기에 일관성이 없다
gmat_0303,sentence,문장
gmat_0304,sentence (verb),문장 (동사)
gmat_0305,significant,중요한
gmat_0306,simultaneously,동시에
gmat_0307,skeptical,의심 많은
gmat_0308,speculate,추측하다
gmat_0309,spur,박차
gmat_0310,spurious,가짜
gmat_0311,stance,위치
gmat_0312,statistical,통계적
gmat_0313,strengthen,강하게 하다
gmat_0314,subsequent,후속
gmat_0315,substantiate,입증하다
gmat_0316,subtle,미묘한
gmat_0317,sufficient,충분한
gmat_0318,surmise,추량
gmat_0319,sustain,지속시키다
gmat_0320,take for granted,당연하게 여기다
gmat_0321,tentative,잠정적인
gmat_0322,testify,증언하다
gmat_0323,testimony,고백
gmat_0324,theft,훔침
gmat_0325,thereby,그것에 의하여
gmat_0326,thrive,번창하다
gmat_0327,trace (to),추적하다(to)
gmat_0328,transient,과도 현상
gmat_0329,trial,재판
gmat_0330,uncertain,불확실한
gmat_0331,underlying assumption,기본 가정
gmat_0332,undermine,약화시키다
gmat_0333,unless,~하지 않는 한
gmat_0334,unprecedented,전례 없는
gmat_0335,validate,검증하다
gmat_0336,variable,변하기 쉬운
gmat_0337,verdict,평결
gmat_0338,viable,생존 가능한
gmat_0339,warrant,보증
gmat_0340,warrant (n.),영장(명사)
gmat_0341,weaken,꺾이다
gmat_0342,whereas,반면
gmat_0343,witness,증인
